Method,Dataset,Dataset size,Top-1
No pretraining,UCF,1000,43.14
SELAVI,UCF,1000,69.18
RSPNET,UCF,1000,75.68
Video Moco,UCF,1000,65.82
Pretext-Contrast,UCF,1000,62.7
CTP,UCF,1000,63.7
TCLR,UCF,1000,70.55
GDT,UCF,1000,77.8
AVID-CMA,UCF,1000,68.83
Supervised pretraining,UCF,1000,86.02
,,,
No pretraining,UCF,2000,55.35
SELAVI,UCF,2000,76.16
RSPNET,UCF,2000,81.18
Video Moco,UCF,2000,75.07
Pretext-Contrast,UCF,2000,77.74
CTP,UCF,2000,77.48
TCLR,UCF,2000,82.18
GDT,UCF,2000,85.12
AVID-CMA,UCF,2000,78.27
Supervised pretraining,UCF,2000,88.98
,,,
No pretraining,UCF,4000,69.65
SELAVI,UCF,4000,82.13
RSPNET,UCF,4000,86.41
Video Moco,UCF,4000,81.68
Pretext-Contrast,UCF,4000,85.3
CTP,UCF,4000,83.85
TCLR,UCF,4000,88.77
GDT,UCF,4000,89.19
AVID-CMA,UCF,4000,85.7
Supervised pretraining,UCF,4000,92.55
,,,
No pretraining,UCF,8000,71.27
SELAVI,UCF,8000,83.45
RSPNET,UCF,8000,87.6
Video Moco,UCF,8000,84.64
Pretext-Contrast,UCF,8000,88.05
CTP,UCF,8000,88.66
TCLR,UCF,8000,89.69
GDT,UCF,8000,90.99
AVID-CMA,UCF,8000,88.18
Supervised pretraining,UCF,8000,93.47
,,,
No pretraining,UCF,Full,75.36
SELAVI,UCF,Full,84.88
RSPNET,UCF,Full,88.47
Video Moco,UCF,Full,85.83
Pretext-Contrast,UCF,Full,86.6
CTP,UCF,Full,89.77
TCLR,UCF,Full,90.77
GDT,UCF,Full,91.14
AVID-CMA,UCF,Full,89.32
Supervised pretraining,UCF,Full,94.08
,,,
,,,
No pretraining,NTU,1000,37.42
SELAVI,NTU,1000,56.25
RSPNET,NTU,1000,58.15
Video Moco,NTU,1000,62.24
Pretext-Contrast,NTU,1000,56.25
CTP,NTU,1000,66.13
TCLR,NTU,1000,65.1
GDT,NTU,1000,64.91
AVID-CMA,NTU,1000,62.16
Supervised pretraining,NTU,1000,60.19
,,,
No pretraining,NTU,2000,62.04
SELAVI,NTU,2000,68.97
RSPNET,NTU,2000,72.52
Video Moco,NTU,2000,73.83
Pretext-Contrast,NTU,2000,70.46
CTP,NTU,2000,76.87
TCLR,NTU,2000,74.97
GDT,NTU,2000,74.37
AVID-CMA,NTU,2000,73.76
Supervised pretraining,NTU,2000,72.56
,,,
No pretraining,NTU,4000,76.98
SELAVI,NTU,4000,79.3
RSPNET,NTU,4000,80.99
Video Moco,NTU,4000,82.54
Pretext-Contrast,NTU,4000,80.41
CTP,NTU,4000,84.09
TCLR,NTU,4000,83
GDT,NTU,4000,82.37
AVID-CMA,NTU,4000,82.57
Supervised pretraining,NTU,4000,81.66
No pretraining,NTU,8000,84.3
SELAVI,NTU,8000,84.6
RSPNET,NTU,8000,87.07
Video Moco,NTU,8000,86.52
Pretext-Contrast,NTU,8000,85.59
CTP,NTU,8000,87.99
TCLR,NTU,8000,86.91
GDT,NTU,8000,87.06
