,Gym99,,Gym288,,Vault (6),,FX-S1 (11),
,Video,Class,Video,Class,Video,Class,Video,Class
None,89.41,84.4,84.71,50.01,41.26,24.67,50.32,44.98
SeLaVi,88.93,84.75,83.68,52.82,43.72,25.44,57.92,50.15
RSPNet,89.88,84.85,84.45,50.53,45.29,31.37,68.85,61.07
VideoMoCo,90.54,86.36,85.31,54.07,45.74,27.78,68.6,60.39
Pretext-contrast,90.31,85.7,85.42,52.66,46.19,28.48,72.84,65.78
CTP,92.17,88.33,87.33,56.51,44.17,26.83,84.68,79.66
TCLR,91.49,87.97,86.93,55.37,46.19,29.84,69.63,61.02
GDT,90.36,86.46,85.74,55.36,44.62,33.11,72.84,65.72
Supervised,91.77,88,87.63,58.4,49.33,37.65,84.68,80.98
