,Gym99,,Gym288,,Vault (6),,FX,,FX-S1 (11),,UB-S1,
,Video,Class,Video,Class,Video,Class,Video,Class,Video,Class,Video,Class
None,89.41,84.4,84.71,50.01,41.26,24.67,79.16,75.88,50.32,44.98,88.44,83.98
SeLaVi,88.93,84.75,83.68,52.82,43.72,25.44,80.01,76.04,57.92,50.15,85.11,81.46
RSPNet,91.28,87.59,86.11,55.2,43.72,33.35,85.4,82.72,71.3,63.5,89.06,85.12
VideoMoCo,90.54,86.36,85.31,54.07,45.74,27.78,84.19,79.52,68.6,60.39,87.9,82.07
Pretext-contrast,90.31,85.7,85.42,52.66,46.19,28.48,84.68,81.37,72.84,65.78,90.62,86.24
CTP,92.17,88.33,87.33,56.51,44.17,26.83,88.99,86.16,84.68,79.66,92.32,88.44
TCLR,91.49,87.97,86.93,55.37,46.19,29.84,87.38,84.25,69.63,61.02,90.48,85.29
GDT,90.36,86.46,85.74,55.36,44.62,33.11,85.8,83.64,72.84,65.72,88.17,81.62
AVID-CMA,90.56,85.83,85.96,52.46,45.52,30.35,85.98,82.65,75.29,67.15,92.45,81.62
Supervised,91.77,88,87.63,58.4,49.33,37.65,88.95,86.09,84.68,80.98,90.55,88.41
